company_id,Company_Name,Founded,Type_of_ownership,Size_employee,Industry_id
1,Vera Institute of Justice,1961,Nonprofit Organization,500,1
2,Visiting Nurse Service of New York,1893,Nonprofit Organization,10000,2
3,Squarespace,2003,Company - Private,5000,3
4,Two Sigma,2001,Company - Private,5000,4
5,Riskified,2013,Company - Private,1000,5
6,Advisor Group,2016,Company - Private,5000,6
7,CodeGreen Solutions,-1,Company - Private,50,7
8,"Education Development Center, Inc.",1958,Nonprofit Organization,1000,5
9,Google,1998,Company - Public,10000,3
10,Duolingo,2011,Company - Private,500,3
11,Ro,2017,Company - Private,200,2
12,Endai,-1,Company - Private,50,8
13,SoFi,2011,Company - Private,5000,9
14,Bank of America,1904,Company - Public,10000,10
15,Nutech Information Systems,-1,Company - Private,50,11
16,NYU Langone Health,1841,Hospital,10000,2
17,Two95 International Inc.,-1,Company - Private,50,12
18,Hearst Communications,-1,Company - Private,50,8
19,Jordan & Jordan,1990,Company - Private,50,6
20,Walt Disney Co.,1923,Company - Public,10000,13
21,Citadel,1990,Company - Private,5000,14
22,"TSR, Inc.",1969,Company - Public,500,12
23,Bloomberg,1981,Company - Private,10000,11
24,Perficient,1998,Company - Public,5000,15
25,Kforce,1966,Company - Public,10000,12
26,Criteo,2005,Company - Public,5000,3
27,Neuberger Berman,1939,Company - Private,5000,4
28,Diverse Lynx,2002,Company - Private,1000,15
29,eTeam Inc.,1999,Company - Private,200,12
30,Citi,1812,Company - Public,10000,4
31,United Nations,1945,Government,10000,16
32,"Discovery Communications, Inc.",1985,Company - Public,10000,17
33,Guidepoint,2003,Company - Private,1000,5
34,Mitchell Martin,1984,Company - Private,1000,12
35,Lorven Technologies Inc,-1,Company - Private,50,18
36,Sphinix Network Solutions Inc.,-1,Company - Private,50,15
37,Praescient Analytics,2011,Company - Private,200,19
38,Global Atlantic Financial Group,2004,Company - Private,5000,20
39,Jefferies,1962,Company - Public,5000,4
40,ektello,2011,Company - Private,500,12
41,"Premier, Inc.",1967,Company - Public,5000,2
42,JPMorgan Chase,1799,Company - Public,10000,4
43,BlueVoyant,-1,Company - Private,200,14
44,Crossfire Consulting Corporation,-1,Company - Private,200,19
45,Wildlife Conservation Society,1895,Nonprofit Organization,5000,1
46,1199SEIU Funds,-1,Nonprofit Organization,5000,20
47,Nutrafol,-1,Other Organization,200,21
48,"EDP World, Inc.",1968,Company - Private,50,12
49,"Staffigo Technical Services, LLC",2008,Company - Private,200,15
50,IBM,1911,Company - Public,10000,15
51,Northwell Health,1997,Nonprofit Organization,10000,2
52,Huxley,1995,Company - Private,500,12
53,Vericred,2015,Company - Private,50,3
54,Scotiabank,1832,Company - Public,10000,4
55,Child Mind Institute,2009,Nonprofit Organization,500,2
56,Balance Innovations,-1,Company - Private,200,11
57,Asset Staffing,-1,Contract,500,12
58,Reliable Software Resources,2004,Company - Private,1000,15
59,"Hearst Television, Inc",-1,Company - Private,200,17
60,William Hill US,1934,Company - Public,10000,22
