measurement_id,location_id,company_id,job_id,Rating,Salary_Min_Estimate,Salary_Max_Estimate
1,1,1,0,3.2,37000,66000
2,1,2,1,3.8,37000,66000
3,1,3,2,3.4,37000,66000
4,1,4,3,4.4,37000,66000
5,1,5,4,4.4,37000,66000
6,2,6,5,3.4,37000,66000
7,1,7,6,3.6,37000,66000
8,1,8,7,3.9,37000,66000
9,1,9,8,4.4,37000,66000
10,1,10,9,5,37000,66000
11,1,11,10,4.8,37000,66000
12,1,12,11,3.7,37000,66000
13,1,13,12,3.2,46000,87000
14,1,14,13,3.7,46000,87000
15,1,15,14,3.6,46000,87000
16,1,16,15,4,46000,87000
17,1,17,16,4,46000,87000
18,1,18,17,4,46000,87000
19,1,19,18,4.9,46000,87000
20,1,20,19,4,46000,87000
21,1,21,20,3.8,46000,87000
22,3,22,21,3.6,46000,87000
23,1,20,22,4,46000,87000
24,1,23,23,3.8,46000,87000
25,1,11,24,4.8,51000,88000
26,1,24,25,3.6,51000,88000
27,1,24,26,3.6,51000,88000
28,1,24,27,3.6,51000,88000
29,1,25,28,4.1,51000,88000
30,1,26,29,3.9,51000,88000
31,1,27,30,3.7,51000,88000
32,1,28,31,3.9,51000,88000
33,1,29,32,3.7,51000,88000
34,1,30,33,3.7,51000,88000
35,1,31,34,4.1,51000,88000
36,1,32,35,3.5,51000,88000
37,1,17,36,4,51000,88000
38,1,33,37,3.3,51000,88000
39,1,34,38,4.1,51000,88000
40,1,35,39,4,51000,88000
41,1,36,40,1,51000,88000
42,1,37,41,3.1,51000,88000
43,1,38,42,4.5,51000,88000
44,1,39,43,3.6,51000,87000
45,1,40,44,4.6,51000,87000
46,1,41,45,3,51000,87000
47,1,42,46,3.9,51000,87000
48,1,43,47,4.2,51000,87000
49,1,44,48,5,51000,87000
50,1,45,49,3.4,51000,87000
51,1,46,50,3.2,51000,87000
52,1,47,51,3.8,59000,85000
53,1,48,52,3.5,59000,85000
54,1,49,53,5,59000,85000
55,1,50,54,3.7,59000,85000
56,4,51,55,4,59000,85000
57,1,52,56,3.3,59000,85000
58,1,53,57,2.9,59000,85000
59,1,54,58,3.6,59000,85000
60,1,55,59,3.2,59000,85000
61,1,56,60,3.1,59000,85000
62,5,57,61,3.4,59000,85000
63,1,58,62,4,59000,85000
64,1,59,63,4.3,59000,85000
65,2,60,64,2.7,59000,85000
66,1,61,65,3.1,59000,85000
67,1,62,66,2.9,59000,85000
68,1,63,67,3.9,59000,85000
69,6,64,68,3.9,59000,85000
70,1,65,69,4.2,59000,85000
71,1,66,70,3.9,59000,85000
72,1,67,71,3.4,43000,76000
73,1,68,72,3.3,43000,76000
74,1,69,73,3.2,43000,76000
75,1,67,74,3.4,43000,76000
76,1,55,75,3.2,43000,76000
77,5,70,76,3.2,43000,76000
78,1,71,77,3.3,43000,76000
79,1,72,78,3.8,43000,76000
80,1,68,79,3.3,43000,76000
81,1,53,80,2.9,43000,76000
82,1,73,81,3.4,43000,76000
83,3,74,82,4.4,43000,76000
84,1,75,83,3.6,43000,76000
85,1,76,84,3.8,43000,76000
86,1,24,85,3.6,43000,76000
87,1,35,86,4,60000,110000
88,1,77,87,4.5,60000,110000
89,1,78,88,3.7,60000,110000
90,1,37,89,3.1,60000,110000
91,1,30,90,3.7,60000,110000
92,1,79,91,3.2,60000,110000
93,1,80,92,3.7,60000,110000
94,1,37,93,3.1,60000,110000
95,1,81,94,3.8,60000,110000
96,1,82,95,4.1,60000,110000
97,1,83,96,3.8,60000,110000
98,2,84,97,3.7,60000,110000
99,1,85,98,3.7,60000,110000
100,1,86,99,3.4,60000,110000
101,1,87,100,5,60000,110000
102,1,88,101,3.6,60000,110000
103,1,89,102,3,60000,110000
104,1,90,103,3.5,60000,110000
105,1,36,104,1,60000,110000
106,1,91,105,5,41000,78000
107,1,23,106,3.8,41000,78000
108,1,48,107,3.5,41000,78000
109,1,30,108,3.7,41000,78000
110,1,20,109,4,41000,78000
111,1,92,110,4.1,41000,78000
112,1,93,111,4.2,41000,78000
113,1,94,112,2.7,41000,78000
114,2,95,113,4.8,41000,78000
115,2,34,114,4.1,41000,78000
116,2,96,115,3,41000,78000
117,1,97,116,3.5,41000,78000
118,1,98,117,3.1,41000,78000
119,1,42,118,3.9,41000,78000
120,1,99,119,3.3,45000,88000
121,1,100,120,3.6,45000,88000
122,1,98,121,3.1,45000,88000
123,5,101,122,3.6,45000,88000
124,1,63,123,3.9,45000,88000
125,1,102,124,4,45000,88000
126,1,28,125,3.9,45000,88000
127,1,103,126,4.9,73000,127000
128,1,24,127,3.6,73000,127000
129,1,104,128,3.2,73000,127000
130,1,105,129,2.9,73000,127000
131,1,106,130,2.3,73000,127000
132,1,107,131,4.2,73000,127000
133,7,108,132,3.4,73000,127000
134,1,109,133,3.9,73000,127000
135,1,110,134,4.5,73000,127000
136,1,35,135,4,84000,90000
137,1,111,136,2.6,84000,90000
138,1,28,137,3.9,84000,90000
139,8,112,138,4.1,84000,90000
140,1,113,139,3.8,84000,90000
141,1,114,140,5,84000,90000
142,1,28,141,3.9,84000,90000
143,2,115,142,3,84000,90000
144,4,51,143,4,84000,90000
145,1,95,144,4.8,84000,90000
146,1,116,145,3.8,84000,90000
147,9,117,146,3.5,84000,90000
148,2,118,147,3,84000,90000
149,1,119,148,3.1,27000,52000
150,1,120,149,3.5,27000,52000
151,1,121,150,4,27000,52000
152,1,104,151,3.2,27000,52000
153,1,122,152,3.3,27000,52000
